Message,Status,Department
pak gubernur yang terhormat saya warga desa cikandang kec kersana kabp brebes saya bikin e ktp dr tahun sampe sekarang belum jadi apakah ada kesalahan sampe saat ini belum jadi mohon bantu pak terima kasih liki fauzi warga brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pa ganjar gub jateng tlg peng gunaan dana desa di brebes diceq pemanfaatanya banyak yg tak sesuai,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
mau melaporkan pembuatn ektp d brebes bener lelet saya no nik salah mengajukan ganti udah thun lebih blum ada prosesy malah minta uang biyar bisa cpat jadi tolong tindak lanjui oknum sperti itu bpak,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaykum pa gubernur ini bagaimana kinerja pemkab brebes kususnya kecamatan brebes disduk capil ko ktp sudah hampir tahun belom jadii lain kaloo bayar langsung jadi tolong pa,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak ganajar pranowo tolong di sidak khusus daerah kab brebes banyak masyarakat mengeluh tentang ektp mulai dari perekaman ektp sampai pengambilan cetak ektp soal ya banyak kecamatan yang petugas ya mulai kerja ya tidak sesuai,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak ganajar pranowo tolong di sidak khusus daerah kab brebes banyak masyarakat mengeluh tentang ektp mulai dari perekaman ektp sampai pengambilan cetak ektp soal ya banyak kecamatan yang petugas ya mulai kerja ya tidak sesuaiassalamualaikum pak ganajar pranowo tolong di sidak khusus daerah kab brebes banyak masyarakat mengeluh tentang ektp mulai dari perekaman ektp sampai pengambilan cetak ektp soal ya banyak kecamatan yang petugas ya mulai kerja ya tidak sesuaiassalamualaikum pak ganajar pranowo tolong di sidak khusus daerah kab brebes banyak masyarakat mengeluh tentang ektp mulai dari perekaman ektp sampai pengambilan cetak ektp soal ya banyak kecamatan yang petugas ya mulai kerja ya tidak sesuai,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
slmt sore pak ganjar mohon untuk di tindak lanjuti proyek tanggul tambak di desa randusanga wetan brebes agar dana negara tak di hambur kn kemana oleh oknum yg mlh pada berjaya giliran ada penangan mlh pembangunan ny setengah akhir ny sia terima kasih,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
pak ganjar tolong perbaiki masalah bikin e ktp di kecamatan songgom kab brebes jawa tengah tahun ktp saya belum jadi padahal di data dukcapil pusat ktp saya sudah dicetak tapi dikecamatan katanya belum jadi trus tolong pak kata siapa pelayanan di kab brebes sangat baik pas bapak sidak lihat di kecamatannya pak kacau semua pelayanannya ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
salam pak gubernur saya mustofa sy tinggal di ds jatirokeh kec songgom kab brebes saya bikin e ktp sudah thn lebih gak jadi jadi dan sebagian besar pemohon e ktp bernasib sama sy hidup merantau jadi sy gak bisa tiap hari ke kecamatan tapi ada adik sy di kampung yang sy suruh mengurus gak jadi juga cuman di kasih ktp sementara terus menerus mohon bantuannya terima kasih bpk gubernur selamat malam,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum wr wb selamat pagi bapak gubernur yang terhormat semoga bapak selalu dalam lindungan allah swt dan selalu menjadi pemimpin yang amanah dan bijaksana saya ingin melaporkan perihal ektp di kab brebes sudah kurang lebih thn yg lalu saya membuat ektp atau melakukan perekaman lalu sembari menunggu ektp jadi saya diberi surat keterangan dengan bentuk selembar kertas yang berlaku hanya bulan saja kemudian tahun berikut nya saya menanyakan kepada petugas kecamatan ternyata dia bilang belum jadi dengan alasan blanko nya habis saya masih bisa memahami karena mungkin habis tahun berikutnya lagi saya datang kembali menanyakan ektp karena saya sangat butuh untuk memperpanjang stnk tapi ternyata belum jadi dan masih di berikan surat keterangan kembali saya penasaran kenapa sudah lama sekali ektp tak jadi akhirnya saya melihat di internet ada situs pengecekan ektp yaitu ektp pandualdiweb id disitu saya melihat bahwa ektp saya bertuliskan siap cetak lalu saya berikan bukti tersebut kepada petugas kecamatan kembali dan mereka menjawab dengan alasan yang menurut saya kurang jelas lalu saya bilang apa perlu saya langsung ke capil brebes untuk mengecek sendiri kata petugas tersebut tidak usah karena disini juga sama saja dengan disana lalu sampai sekarang saya masih menunggu hasilnya selalu nihil saya bingung saya hanya ingin ektp saya jadi karena saya sangat membutuhkan nya bukankah kartu identitas sangat dibutuhkan sekarang apa serba memasukan kartu identitas untuk mengecek mengaktifkan kartu perdana pun perlu nomor nik bukan no sim memang sim juga bisa untuk identitas tapi identitas yang sangat penting kan ektp bukan saya melihat di kota lain membuat ektp itu cepat tak sesulit dan selama di kab brebes saya kadang berfikir kenapa saya harus jadi orang brebes mengurus apapun serba susah pelayanan masyarakat tapi tidak melayani masyarakat dengan baik khususnya di kecamatan songgom banyak sekali rakyat yang mengeluh dengan pelayanan kecamatan songgom saya harap bapak gubernur yang terhormat bisa datang sendiri kesana dan melihat situasi nya pungli dimana mana saya pernah dengar dari keluarga saya sendiri kalau dia diminta sejumlah uang agar ektp bisa jadi dengan mudah ternyata benar setelah dia memberi uang ektp jadi seminggu kemudian sedangkan saya sudah th tak kunjung jadi saya harap bapak gubernur memperhatikan sekali masalah ini khususnya dibrebes saya hanya ingin ektp pak saya hanya ingin diakui oleh negara itu saja yang bisa saya sampaikan saya harap bapak gubernur bisa merespon dengan cepat wassalamualaikum wr wb berikut saya lampirkan screenshoot kolom komentar di situs capil brebes ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
maaf ini sy melanjutkan laporan yg sebelumnya masalah cetak e ktp kec songgom kab brebes persyaratan ktp sy sudah di proses dari dulu dan nomor telepon juga sudah di cantumkan kt y kalau sudah jadi akan di telpon tp sampai sekarang belom ada telpon atau pun sms sudah setahun lebih dan terakhir sy perbaharui bulan juni ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak mau bertanya perihal pembuatan ktp kenapa di kecamatan banjarharjo masih saja kehabisan blanko ya pak mohon penjelasannya kenapa masih terjadi ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum pa ganjar tolong mengenai ktp elektrik di desa cibentang kec bantar kawung kabupaten brebes susah jadi tolong ia pa di bereskn ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum kpd bapak gubernur kita saya minta bantuanya kenapah bikin ktp susah bngt saya warga brebes kecamatan songgom,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
mohon tolong diselidiki dan periksa segera kepala desa sutamaja kec kersana kab brebes pelaksanaan proyek yang tidak sesuai proyek ditangani pribadi tanpa keterlibatan pihak lain bpd tidak berfungsi anak kades dijadikan sekdes atau carik ini sudah trmasuk kkn jika ada yg ingin menjadi perangkat desa harus menyerahkan uang paling tidak sawah atau tanah seharga jtan sertifikat massal dikenakan harga minim bahkan ada yg hampir satu juta dikenakan orang yg bisa dibodohi kemaren ajak warga desa bis piknik itu dana dari mana logika saja pak kalopun saya lapor ke pemkot brebes juga paling tidak digubris pastinya si kades nylonong kasih amplop sudah selesai mohon diperiksa segera pak harus segera mohon identitas saya disembunyikan karna saya warga asli sutamaja mohon segera ditindak,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum warrahmatullahi wabarakatu dengan hormat bapak gubernur jawa tengah bersama ini saya ini saya ingin menanyakan perihal pembuatan e ktp di kabupaten brebes masih berjalan lambat saya sudah menggunakan surat keterangan pengganti e ktp selama tahun lebih saya sudah mengajukan penggantian e ktp selama tahun lebih tetapi dengan alasan tidak tersedianya blanko maka e ktp saya tidak juga jadi mohon penjelasannya terima kasih wassalamualaikum warrahmatullahi wabarakatu ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak ganjar saya dari brebes kecamatan songgom jateng saya mengeluhkan pelayanan ektp kenapa semakin susah semua yang mau buat ektp harus ke brebes jateng tidak kaya dulu semua orang bisa buat ktp di kecamatan dan semuanya hrus menunggu sampai taun jadi malahan jika kepingin ktp cepat jadi kita harus bayar rb balai desa di kecamatan songgom jateng kususnya di desa jatimakmur buka sampai jam siang saja jadi bayak orang yg kecewa dan pas upacara hut ri para pelajar mengadakan upacara di lahan resmil milik orang karena desa jatimakmur tidak punya lahan lapangan untuk upacara hut ri,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum bpk gubernur yg saya hormati nm saya edi tri melati almt rt rw kedunguter brebes jateng saya mo merubh kk ortu tp dipersulit ktny hrs ad surt kematian bpk saya meninggl th dan jg fto copy ktp org saksi kt apart desa sdgkn wktu itu surt kematian dan ktp bpk saya dah diserhkn ke dinsos ap bnr peraturn dr pust spt itu pak mhn pnjlsn dan di tinjau kmbli spy pembuatn kk jd lebih mudah terima ksh ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamuallaikum wr wb yth kepada bapak ganjar saya warga kec larangan banyak keluh kesah warga yg ingin membuat ektp di permainkan kenapa kecamatan katanya suruh ke capil dan capil bilang katanya gak bisa cetak e ktp dan suruh kembali lg e kecamatan dan kecamatan bilang lagi suruh ke capil bagaimana kami bisa makmur pak apakah e ktp sudah tidak berguna lagi setiap mau perekaman di kab brebes terutama kec larangan kec bulakamba kec ketanggungan pasti ada saja alasanya ada yg bilang mesin pencetak rusak dll seharusnya maksimal ktp minggu sudah jadi kenapa bamyak yg udah berbulan bahkan bertaun tidak jadi kenapaaa apakah ini yg namanya kemakmuran kesejahteraan bagi rakyat tolong tindaklanjutilah permasalahan ini kami merupakan warga perbatasan dg jawa barat tolong sering ditengok dan sering lah melakukan sidak di rumah paten kec larangan kec bulakamba kec ketanggungan kami kesal pak urus ktp berbulan bahkan bertaun gak jadi tolonglah tindaklanjuti segera di web katanya blangko banyak tapi kenapa tanya ke kec bilangnya blangko kosong tolong lah pak tindaklanjuti permasalah ini di kec kami kab brebes pak kami sudah lelahh menghadapi ini semua dg sendirinya seperti dipermainkan oleh petugas e ktp tolong segera tindaklanjuti pak biar ektp minggu jadi seharusnya dan di dalam peraturan e ktp maksimal dicetak minggu tapi kenapa berlulanw bertahun gal jadi tolong pak bantu kami tindaklanjuti terima kasih pak ganjar suksskanlah visi dan misinya pasti kami percaya tolong bantu selidiki terima kasih wassalamuallaikum wr wb,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
intinya kami warga brebes ingin dipermudah pembuatan ktp dan surat yg lain seperti kk dan lainnya lapul,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
di desa saya desa limbangan kecamatan losari kabupaten brebes telah dilaksanakan pemilihan bpd yang dimana peserta pemilihan calon undangan pada saat itu yang menentukan adalah pihak pemerintah desa panitia yang sudah dibentuk pada saat rapat pelaksanaan pemilihan pun ditanya mereka berdalih dengan cara pemilihan secara aklamasi pelaksanaan pemilihanpun terkesan mendadak mendesak sekarang undangan disebar dan esok siangnya pemilihan tidak ada sosialisasi yang merata dari panitia ataupun pihak pemerintah desa sehingga banyak masyarakat tidak tahu hal ini menurut saya sudah bertentangan dengan aturan yang ada yang tertuang dalam permendagri no tahun yang seyogyanya harus dilakukan secara demokratis melalui pilihan langsung ataupun musyawarah perwakilan di dalam permendagri pun tidak disebutkan bahwa pemerintah desa berhak menentukan peserta calon undangan rapat pemilihan bpd tersebut mohon seyogyanya beri kami pencerahan apakah ini sudah sesuai prosedur atau tidak karena menurut saya pribadi ini sudah jauh dengan yang disebut demokrasi cara seperti itu malah akan memperlebar pintu kemungkinan nepotisme karena hanya orang tertentu yang diundang diberitahu kalau ada aturan yang bisa membenarkan teknik pemilihan seperti itu tolong beritahu kami ajari kami supaya kami lebih tahu dan bisa berguna bagi bangsa ini ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat malam pak gubernur saya ingin melaporkan kepengurusan e ktp untuk kecamatan bumiayu kab brebes untuk pembuatan sudah hampir bulan belum juga jadi selalu beralasan blanko tidak tersedia dan ternyata banyak warga yg bahkan sudah hampir tahun belum jadi dengan alasan blanko tidak tersedia apakah memang blanko e ktp khususnya kecamatan bumiayu belum tersedia pak dan yg ke pindahan kependudukan antar kecamatan milik istri saya beralasan tidak bisa diproses dengan alasan berbeda nik saat saya cek tidak ada perbedaan setelah saya tanyakan kembali beralasan data duplikasi pertanyaan saya jika terjadi duplikasi data apakah kita harus mengurus langsung ke dukcapil kabupaten info pihak kecamatan tidak bisa menghapus data duplikasi dan diminta untuk langsung ke dukcapil kabupaten,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor gub saya buat ktp tahun ga jdi alesannya blangko ga ada masa iya blangko hbis smpe tahun mohon tindak lanjuti dri desa kersana kec kersana,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor pa gub sya buat ktp udah tahun lebih ga jdi alesannya blangko ga ada msa iya slama tahun lebih ga ada blangko itu kerja apa tidur yahh sya dri desa kersana kec kersana mohon tindak lanjuti pa gub wassalamualaikum,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat sore pak saya mau menanyakan perihal pengupdatean nik e ktp saya warga brebes jawa tengah telah melakukan pengupdatean di deduk capil setempat menurut salah satu pegawai untuk pengupdatan aktifasi nik ktp memerlukan waktu x jam namun sudah hari saya menunggu belum juga diproses saya datangi lagi deduk capil setempat dan saya disuruh menunggu hari lagi penangananan yang demikian membuat saya gagal mendaftarkan diri untuk mengikuti cpns apa saya juga akan mengalami kendala untuk melangsungkan pernikahan saya sedangkan dalam jangka hari kedepan saya akan melangsungkan pernikahan saya untuk mendaftar di kua nik saya belum terdaftar mohon konfirmasi atas perihal tersebut ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
tlg pak sidak ke kecamatan banjarharjo brebes th ktp g jadi ganti aja pak komputer jadi mesin ketik lama bosen ngurus bolak baliknya ke kecamatan pak suwun,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat pagi saya selii warga desa pandansari kecamatan paguyangan kabupaten brebes ingin menanyakan tentang prosedur balik nama tanah yang saya beli apakah uang pologoro sebesar itu wajib dikarenakan saya ingin membuat balik nama kepemilikan tanah untuk syarat membuat sertifikat tanah dan staff kelurahan memberitahu untuk membayar pologoro yang dimana saya baca bahwa pologoro adalah pungutan yang diberikan kepada kepala desa mohon sarannya apakah wajib uang pologoro yang nominalnya lumayan besar tersebut dan apakah bisa ditiadakan uang pologoro yang saya baca adalah pungutan liar yang diberikan kepada kepala desa terimakasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pa maaf nih di desa bulusari kabupaten bulakamba katanya ada penggusuran kali irigasi banyak rumah yang pada kena tapi ko ga ada kompensasi dari pemerinta buat ganti rugi yang rumahnya pada kena gusuran apakah benar dari pemerintahan ga ada kompensasinya makasih pak ganjar gubernuru,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
lapor pak ganjar mohon tindak lanjuti dan kinerja para pegawai perangkat negri sipil didaerah brebes selatan terutama untuk pembuatan ektp dan kk serta akta kelahiran kenapa sampai skr pembuatan yg sudah lengkap dgn aturan tp masih sulit diproses sedangkan orang yg kumpul kebo tanpa surat nikah dgn mudah bikin semuanya karna hanya uang mereka mudah mendapatkanya dimanakah keadilan utk negri ini mhon dicek ulang semuanya pa ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor pak tolong awasi kinerja pegawai kecamatan bulakamba brebes yang membuat masyarakat kecewa karena harus bolak balik ke kecamatan bulakamba brebes untuk pengambilan cetak e ktp karena alasan nya blm bisa cetak ini itu melulu kasihan masyarakat jauh jauh bolak balik tapi pegawai kecamatan enk banget bilangnya klau ga mau berkas ditarik aja dan ga usah buat e ktp tolong ditindak lanjutin pak gubernur ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
jalan irigasi pengairan sawah ditutup oleh sman larangan brebes petani merasa keberatan dalam hal pengairan dan lintasnya ditutup mohon pak gubernur menindak lanjuti tanda kutip pihak sman larangan bertindak semena mena suara warga tani tidak digubris ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
pak kami warga kec losari kab brebes yg febr lalu kebanjir an kini mulai kawatir menghadapi musim penghujan krn tanggul yg jebol belum diperbaiki kami takut dan trauma kebanjiran lagi pak kerusakan yg lalu dirumahku blm bisa diperbaiki tolong pak pembangunan tanggul yg kuat sangat kami nantikan,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
laporan lagi pak gubernur untuk pengambilan cetak e ktp lagi lagi diundur oleh kec bulakamba alasan nya ini kabel internet baru kepasang gedek mereka janjiin senin bisa dicetak kalau ga bisa tolong lah tu pegawai kecamatan bulakamba suruh jadi rakyat yg buat e ktp biar mereka merasakan sengsara bolak balik di tipu pegawai kecamatan yang makan gaji dari rakyat,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum maaf pak saya mau tny apa bener bikin ktp blangkon nya gk ada y soalnya di desa saya bikin ktp pegawai kelurahan bilangnya gk ada blankonnya tolong di jwb asalamualaikum maaf pak saya mau tny apa bener bikin ktp blangkon nya gk ada y soalnya di desa saya bikin ktp pegawai kelurahan bilangnya gk ada blankonnya tolong di jwb ini alamat desa balapusuh kelurahan tanggeran kecamatan tonjong kabupaten brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
ass kami warga ds tambakserang kab brebes memohon dana desa di ds kami benar utk d periksa penggunaanya trimakasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum slm sjhtra bpk ibu yg sya hormati sya mau brtnya apa blh stiap lprn prtnggung jwbn keuangan nota dn stempelnya bkn asli dri tokonya krna yg trjdi di desa karangmaja kec banjarharjo kab brebes demikian hmpir smua nota cap nya bkn asli dri tokonya dan sdh di lakukan dri thn yg lalu bhkn ada anggaran add untk kgtn ibu pengjian yg tiap thun nya ga prnh di berikan dan pngadaan alat kntor jg yg di buat laporan seringnya barang yg udh ada thn sblmnya cntoh pmbelian tv itu brng yg udh ada di buat laporan rtlh a n nayem perbaikan rmh tdk sesuai rab proposal tlong di benahi admntrsi desa karangmaja agar tdk kebablasan lbh jauh trmksh,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak gub mhon bantuane kulo wargi desa jarirokeh kec singgom kab brebes kulo mpun perekaman ektp bln juli nganti siki dereng dados tiap dugi maring kantr kecamatan alasane blangko mboten wonten,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
akta kelahiran di kabupaten brebes kenapa susah sekali ya padahal syarat udah lengkap hampir dua bulan belum selesai juga dindukcapil brebes ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat siang pak apa di kecamatan wanasari kabupaten brebes bikin ktp susah saya dah siaran ulang x nyampe skrg blm jadi ktp sy saya mohon pak tolong di tindak lanjuti kecamatan wanasari makasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
slmt pagi pak ganjar berkenaan dg pekerjaa pu yg berlokasi dibrebes pekerjaanya g maksimal untuk normalalisasi sungai pemali apalagi pas digorong jalan raya ga digali tanahnya hanya fisualnya saja mohon ditindak lanjuti sbb air mengalir tdk maksimal,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
calo dukcapil brebes dari mulai pembuatan akta lahir surat pindah dll terletak persis didepan kantor dukcapil brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
bikin e ktp masih susah di kec larangan kab brebes mohon pak gubernur di cek,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pembuatan ektp el di kabupaten brebes kecamatan larangan thn bru jadi tolong diperbaiki pak karna ektp el itu buat segalanya,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikm bpk gubernur yg saya hormati saya mi nanya nich saya mo buat surat kematian suami saya krn dah th g ad kbr berita dan tanpa adny nfkh buat saya dan ank saya tp trnyta g blh sm pak lurah ktny hrs ad surt kematian dr subang domisi suami pdhl saya sdh buat kk brebes pak sdgkn mo ke pengadiln saya g pny uang bz mkn tiap hr aj alhmdulillah saya jg g prnh dpt bntuan apapn dr pemerinth suami says pergi meningglkn saya sejk ank saya umur th sdgkn ank sya skrg dah kls sd apkh spt itu peraturnny pak hrs ad surt kematian dr subang trm kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
yth gubernur jawa tengah bapak ganjar pranowo pembuatan e ktp di daerah brebes sangat lambat terutama di kecamatan losari e ktp untuk jadi harus menunggu tahun sampai tahun baru jadi mungkin juga lebih dari tahun jadi termasuk saya pak e ktp hampir tahun belum jadi masih menggunakan suket mohon pak di tindak lanjuti terima kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak ganjar pranowo punten ktp saya udah tahun ngga jadi pak di kecamatan paguyangan,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak ganjar pranowo di kecamatan tanjung brebes masalah ektp dong pak katanya blanko habis sedangkan sy udh nunggu bln tapi kalau bayar cepet gimana ya pak solusinya tolong pak responnya sy org kecil mau mengadu sama siapa lg ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum pak maaf apa cuma dibrebes selatan doank bikin ktp susah bgt bahkan ada juga yang pengajuan sampai sekarang blm dpt ektp ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
bp dion melakukan perpanjangan ktp sejak bulan agustus di kec bulakamba dijanjikan bahwa ktp akan tercetak setelah bulan hari ini bp dion telah menanyakan cetakan ktp pada petugas kecamatan tetapi petugas menjelaskan bahwa blangko ktp tidak ada serta bp dion diminta untuk ke kecamatan seminggu sekali untuk mengecek ketersediaan blangko mohon bantuan bapak gubernur untuk menyelesaikan permasalahan pencetakan ktp bapak dion ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak gubernur ini potret beberapa desa di kabupaten brebes kabupaten yg bapak kemarin kunjungi masyarakat merasa banyak ketidakjelasan dana desa akibatnya saat ini terjadi demo di beberapa desa krn kecemburuan antar desa yg berbeda demo bahkan sampai ricuh seperti di desa bangsri dan desa sigentong hingga tersorot media baik tv cetak maupun elektronik mohon ditanggapi khususnya soal perangkat desa foto desa bangsri arah sibajag dan sander ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
 ganjar pranowo assalamualaikum pak gubernur mohon ijin nih tolong dong di sidak kecamatan paguyangan biar kerja ny pada bener ktp udah dua tahun katanya udah jadi giliran mau di ambil gak ada katanya ilang alasan nya gak masuk akal terima kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak gubernur ini potret beberapa desa di kabupaten brebes kabupaten yg bapak kemarin kunjungi masyarakat merasa banyak ketidakjelasan dana desa akibatnya saat ini terjadi demo di beberapa desa krn kecemburuan antar desa yg berbeda demo bahkan sampai ricuh seperti di desa bangsri dan desa sigentong hingga tersorot media baik tv cetak maupun elektronik mohon ditanggapi khususnya soal perangkat desa foto desa bangsri arah sibajag dan sander ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asallamualikum bapa ibu maaf atas ketidak sopanan saya saya cuma ingin menanyakan apakah pembuatan kartu keluarga kk masih di pungut biaya kaerna keluarga saya yg tinggal di brebes selatan kusunya bantarkawung kec pangebatan membuat kartu keluarga bayar k,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak gubernur ini potret beberapa desa di kabupaten brebes kabupaten yg bapak kemarin kunjungi masyarakat merasa banyak ketidakjelasan dana desa akibatnya saat ini terjadi demo di beberapa desa krn kecemburuan antar desa yg berbeda demo bahkan sampai ricuh seperti di desa bangsri dan desa sigentong hingga tersorot media baik tv cetak maupun elektronik mohon ditanggapi khususnya soal perangkat desa foto desa bangsri arah sibajag dan sander ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
bapak ganjar pranowo yang terhormat ktp sudah tahun ko belum jadi ya di tanya kira kira bisa jadi kapan malah jawabannya staff kecamatan ngga jelas jadi kapan nya saya bingung temen saya minggu sudah jadi kata temen bayar ke kepala dusun nya sebesar rb di ds malahayu banjarharjo brebes jateng,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak gubernur saya warga brebes saya sudah hampir thn saya menunggu kepastian ktp elektrik tapi sampai saat ini kami hanya dapat ktp sementara yang mana ktp sementara dipakai selain daerah brebes amatlah susah saya kami mohon pak turunkan belangko e ktp di daerah brebes tolong pak ganjar pranowo terimakasih ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak gub ganjar pranowo kab brebes gwe ktp ora gadi nympe taunan alesane blngkone entek tlung di sidak matur swun ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak ganjar pranowo tolong kalau ke songgom brebes rt rw lurah atau camatnya tolong di cek dan juga soal e ktp kenapa lama bgt jdinya mksh d tunggu responnya,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak gawe jalan lingkar lewat bantarkawung ben rembes selatan lebih maju,Selesai,dinas pekerjaan umum bina marga cipta karya
tolong pak mohon di tinjau irigasi dari losari pengabean sampi kramat sdh pendangkalan banget sehingga air dari selatan ga ngalir sampai ujung utara pdhal ini sdh menjelang musim hujan dan biasanya sdh ada pengerukan ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
saya ingin melaporkan untuk pembuatan ktp elektrik di kecamatan songgom kabupaten brebes sangat memprihatinkan karena sistem antrian yg sangat sangat tidak efektif menurut saya dan sangat sangat mengganggu aktifitas dan jam yg seharusnya untuk istrht masyarakat apa iya bikin ktp harus antri dari jam malam sampai ada yg setiap hari menunggu di kecematan hanya untuk membuat ktp tolong lah pak di buat sistem yg lbih efektif kecamatan mempuyai beberapa desa dan setiap desa pasti punya pemerintahan yg berpusat ke kecamatan apa tidak bisakah di absen perharinya desa mana atau pertanggalnya untuk pembuatan ktp jadi tidak ada orang yg harus berebut antrian dan sampai menginap di kecamatan cuma hanya untuk membuat ktp ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamuallaikum wr wb pa gubernur yg terhormat saya dr songgom brebes dan saya salah satu pkung bapak tolong pembuata e ktp segera di mudahkan karna hampir seluruh kecamatan dibrebes dibikin susah dengan alasan blangko e ktp tidak ada ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor pk gub ini sya sudh x ke capil kab brebes no antrian kok sudh habis terus padahal dateng alasanya mlayani hnya antrean ada ratusan orang tiap hari ngurus data kepndudukn padahl bnyak yg jauh sampe dlokasi zonkkk sbnarnya yg dlayani masyrkat atau pgawai capil ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
